destination;argument_1;argument_2;operator;maximum_effect;accessibility;probability_of_success;saturation_point
% Optimise price REC;% REC;% REC market;-;;;;
% Optimise price REC;0;% REC partner;-;;;;
Capacity % RE make;Capacity RE make;Energy demand;/;;;;
Demand % RE make;Capacity % RE make;% RE make;min;;;;
Demand RE make;Energy demand;Demand % RE make;*;;;;
Investment cost rate RE make discount;1;RE CAPEX tax discount rate;-;;;;
Investment cost rate RE make discount;0;RE CAPEX subsidy rate;-;;;;
Share used of capacity RE make;Demand RE make;Capacity RE make;/;;;;
Cost RE make;Investment cost RE make;Share used of capacity RE make;*;;;;
CAPEX;Cost RE make;Investment cost rate RE make discount;*;;;;
Capacity % RS partner;Capacity RS partner;Energy demand;/;;;;
Demand % RS partner;Capacity % RS partner;% RS partner;min;;;;
% REC partner available for optimisation;Demand % RS partner;% REC partner;-;;;;
% REC partner from optimisation;% Optimise price REC;% REC partner available for optimisation;min;;;;
Use REC partner;Price REC partner;Price REC market;<=;;;;
% REC partner optimised;Use REC partner;% REC partner from optimisation;*;;;;
% REC market optimised;% Optimise price REC;% REC partner optimised;-;;;;
% REC partner total;% REC partner;% REC partner optimised;+;;;;
% REC market total;% REC market;% REC market optimised;+;;;;
# REC partner;Energy demand;% REC partner total;*;;;;
# REC market;Energy demand;% REC market total;*;;;;
Demand % RE partner;% RS partner;% REC partner total;min;;;;
Demand RE partner;Energy demand;Demand % RE partner;*;;;;
Demand RS partner;Energy demand;% RS partner;*;;;;
Demand RS partner;0;Demand RE partner;-;;;;
Demand % RE market;% RS market;% REC market total;min;;;;
Demand RE market;Energy demand;Demand % RE market;*;;;;
Demand RS market;Energy demand;% RS market;*;;;;
Demand RS market;0;Demand RE market;-;;;;
Total demand RS and RE;Demand RS partner;Demand RE partner;+;;;;
Total demand RS and RE;Demand RS market;Demand RE market;+;;;;
Total demand RS and RE;0;Demand RE make;+;;;;
Demand NRS market;Energy demand;Total demand RS and RE;-;;;;
Cost RS partner;Demand RS partner;Price RS partner;*;;;;
Cost RE partner;Demand RE partner;Price RS partner;*;;;;
Cost RE partner;# REC partner;Price REC partner;*;;;;
Cost RS market;Demand RS market;Price RS market;*;;;;
Cost RE market;Demand RE market;Price RS market;*;;;;
Cost RE market;# REC market;Price REC market;*;;;;
Cost NRS market;Demand NRS market;Price NRS market;*;;;;
Total NRS demand;Demand NRS market;Demand RS partner;+;;;;
Total NRS demand;0;Demand RS market;+;;;;
Carbon footprint;Total NRS demand;CO2 emission per MWh;*;;;;
Actual carbon emission;Demand NRS market;CO2 emission per MWh;*;;;;
CO2 emission cost;Carbon footprint;Internal carbon price;*;;;;
Energy cost;Cost RS partner;Cost RE partner;+;;;;
Energy cost;Cost RS market;Cost RE market;+;;;;
Energy cost;Cost NRS market;CO2 emission cost;+;;;;
RE %;Demand % RE partner;Demand % RE market;+;;;;
RE %;0;Demand % RE make;+;;;;
GE %;1;RE %;-;;;;
Carbon footprint reduction;Energy demand;CO2 emission per MWh;*;;;;
Carbon footprint reduction;0;Carbon footprint;-;;;;
Increase in brand value;Carbon footprint reduction;Effect of carbon footprint reduction on brand value;*;;;;
Carbon footprint reduction condition;RE %;Carbon footprint reduction saturation point;>=;;;;
Increase in employee engagement score;Carbon footprint reduction condition;Effect of maximum carbon footprint reduction on employee engagement;*;;;;
New employee engagement score;Current employee engagement score;Increase in employee engagement score;+;;;;
Current employee disengagement score;1;Current employee engagement score;-;;;;
New employee disengagement score;1;New employee engagement score;-;;;;
Current employee recommendation rate;Current employee engagement score;Engaged employee recommendation rate;*;;;;
Current employee recommendation rate;Current employee disengagement score;Disengaged employee recommendation rate;*;;;;
New employee recommendation rate;New employee engagement score;Engaged employee recommendation rate;*;;;;
New employee recommendation rate;New employee disengagement score;Disengaged employee recommendation rate;*;;;;
Increase in employee recommendation rate;New employee recommendation rate;Current employee recommendation rate;-;;;;
ICP condition;Internal carbon price;0;>;;;;
New Net Promotor Score;ICP condition;Effect of using an internal carbon price on employee engagement;*;;;;
New Net Promotor Score;0;Effect of employee engagement on customer satisfaction;*;;;;
New Net Promotor Score;0;Current Net Promotor Score;+;;;;
