destination;argument_1;argument_2;operator;maximum_effect;accessibility;probability_of_success;saturation_point
Tertiary education completed Ukrainians;Education after 18;;squeezed *;0.47;1.0;0.71;13774010.72
Sports and association exists;Sports and association;0;>;0.0;;;
Language and integration course exists;Language and integration course;0;>;0.0;;;
Employment exists;Employment;0;>;0.0;;;
Education exists;Education after 18;0;>;0.0;;;
Access to transport exists;Access to transport;0;>;0.0;;;
Check for interventions;Sports and association exists;Language and integration course exists;+;0.0;;;
Check for interventions;Employment exists;Education exists;+;0.0;;;
Check for interventions;Access to transport exists;0;+;0.0;;;
Jealousy effect;Check for interventions;0;>;0.0;;;
Jealousy effect Interventions;Jealousy effect;Effect intervention on jealousy;*;0.0;;;
Quality of life other refugees Interventions;Jealousy effect Interventions;Effect of jealousy on QoL on quality of life other refugees;*;0.0;;;
Quality of life inhabitants Interventions;Jealousy effect Interventions;Effect of jealousy on QoL on quality of life inhabitants;*;0.0;;;
Language acquisition Ukrainians Sports;Sports and association;;squeezed *;0.42;1.0;0.7;1630189.054
Language acquisition Ukrainians Integration;Language and integration course;;squeezed *;0.65;1.0;0.7;7946938.756
Language acquisition Ukrainians;Language acquisition Ukrainians Sports;Language acquisition Ukrainians Integration;+;0.0;;;
Unemployment reduction Ukrainians Employment;Employment;;squeezed *;0.68;1.0;0.6;8150945.272
Unemployment reduction Ukrainians Language Acq;Language acquisition Ukrainians;Effect of language acquisition Ukrainians on unemployment reduction Ukrainians;*;0.0;;;
Unemployment reduction Ukrainians Education Compl;Tertiary education completed Ukrainians;Effect of tertiary education completed Ukrainians on unemployment reduction Ukrainians;*;0.0;;;
Umployment reduction Ukrainians Interventions;Unemployment reduction Ukrainians Employment;Unemployment reduction Ukrainians Language Acq;+;0.0;;;
Umployment reduction Ukrainians Interventions;Unemployment reduction Ukrainians Education Compl;0;+;0.0;;;
Increase in income Ukrainians Employment;Unemployment reduction Ukrainians Employment;Effect of unemployment reduction Ukrainians on income Ukrainians;*;0.0;;;
Increase in income Ukrainians Language Acq;Language acquisition Ukrainians;Effect of language acquisition Ukrainians on income Ukrainians;*;0.0;;;
Increase in income Ukrainians Education Compl;Tertiary education completed Ukrainians;Effect of tertiary education completed Ukrainians on income Ukrainians;*;0.0;;;
Increase in income Ukrainians;Increase in income Ukrainians Employment;Increase in income Ukrainians Language Acq;+;0.0;;;
Increase in income Ukrainians;Increase in income Ukrainians Education Compl;0;+;0.0;;;
Number of additional jobs Sports;Sports and association;Yearly salary sports and associations;/;0.0;;;
Number of additional jobs Integration;Language and integration course;Yearly salary language and integration;/;0.0;;;
Number of additional jobs Employment;Employment;Yearly salary employment creating and matching;/;0.0;;;
Number of additional jobs Education;Education after 18;Yearly salary education after 18;/;0.0;;;
Number of additional jobs;Number of additional jobs Sports;Number of additional jobs Integration;+;0.0;;;
Number of additional jobs;Number of additional jobs Employment;Number of additional jobs Education;+;0.0;;;
Number of additional jobs Ukrainians;Number of additional jobs;Effect of additional jobs on number of additional jobs Ukrainians;*;0.0;;;
Number of additional jobs other refugees;Number of additional jobs;Effect of additional jobs on number of additional jobs other refugees;*;0.0;;;
Number of additional jobs inhabitants;Number of additional jobs;Effect of additional jobs on number of additional jobs inhabitants;*;0.0;;;
Economic impact Investing;Sports and association;Language and integration course;+;0.0;;;
Economic impact Investing;Employment;Education after 18;+;0.0;;;
Unemployment reduction other refugees;Number of additional jobs other refugees;Number of other refugees workforce;/;0.0;;;
Increase in income other refugees;Unemployment reduction other refugees;Effect of unemployment reduction other refugees on income other refugees;*;0.0;;;
