destination;argument_1;argument_2;operator
AR_1;Invest in training of employees;AR_sp;/
AR_2;AR_1;1;min
AR_3;AR_2;AR_acc;*
AR_4;AR_3;AR_pos;*
Accidents reduction %;AR_4;AR_me;*
WURWE_1;Invest in water recycling;WURWE_sp;/
WURWE_2;WURWE_1;1;min
WURWE_3;WURWE_2;WURWE_acc;*
WURWE_4;WURWE_3;WURWE_pos;*
Water use reduction % when effective;WURWE_4;WURWE_me;*
Water use reduction %;Water use reduction % when effective;Effectiveness water recycling;*
Accidents reduction;Current # accidents;Accidents reduction %;*
Water use reduction;Water use reduction %;Current water use;*
Production cost reduction $;Water use reduction;Water unit cost;*
Production cost reduction $;Accidents reduction;Cost of accident;*
Production cost reduction;Production cost reduction $;Current production cost;/
Cost of training per employee;Invest in training of employees;# employees;/
New # accidents;Current # accidents;Accidents reduction;-
New water use;Current water use;Water use reduction;-
