fixed_input;value
Average costs of a day lost through absenteeism;500.0
Average costs of staff turnover;3000.0
Average wage costs per employee;40000.0
Current absenteeism %;0.00064
Current customer satisfaction;6.5
Current employee satisfaction;6.0
Current number of employees;1200.0
Current productivity %;0.007
Current staff turnover %;0.00086
Indirect effect employee satisfaction on customer satisfaction;0.26
Indirect effect employee satisfaction on productivity %;0.23
Threshold salary increase effect;0.5
Number of workable days per year;200.0
RD_ABS_pssr_me;0.33
RD_ABS_pssr_acc;0.71
RD_ABS_pssr_pos;0.2
RD_ABS_pssr_sp;180.0
RD_ABS_psr_me;0.3
RD_ABS_psr_acc;0.19
RD_ABS_psr_pos;0.5
RD_ABS_psr_sp;200.0
RD_ABS_pe_me;0.04
RD_ABS_pe_acc;0.5
RD_ABS_pe_pos;0.25
RD_ABS_pe_sp;125.0
RD_ABS_sr_me;0.21
RD_ABS_sr_acc;0.232
RD_ABS_sr_pos;0.137
RD_ABS_sr_sp;390.0
RD_ABS_he_me;0.02
RD_ABS_he_acc;0.92
RD_ABS_he_pos;0.8
RD_ABS_he_sp;100.0
RD_ABS_wlb_me;0.38
RD_ABS_wlb_acc;0.24
RD_ABS_wlb_pos;0.4
RD_ABS_wlb_sp;270.0
RD_ST_psr_me;0.5
RD_ST_psr_acc;0.19
RD_ST_psr_pos;0.5
RD_ST_psr_sp;200.0
RD_ST_wlb_me;0.958
RD_ST_wlb_acc;0.24
RD_ST_wlb_pos;0.4
RD_ST_wlb_sp;270.0
RD_ST_td_me;0.19
RD_ST_td_acc;0.57
RD_ST_td_pos;0.8
RD_ST_td_sp;2000.0
RD_ST_esi_me;0.33
RD_ST_esi_acc;0.65
RD_ST_esi_pos;0.7
RD_ST_esi_sp;3600.0
RD_ST_ld_me;0.0
RD_ST_ld_acc;0.73
RD_ST_ld_pos;0.7
RD_ST_ld_sp;1500.0
RI_ES_psr_me;0.57
RI_ES_psr_acc;0.19
RI_ES_psr_pos;0.5
RI_ES_psr_sp;200.0
RI_ES_wlb_me;0.64
RI_ES_wlb_acc;0.24
RI_ES_wlb_pos;0.4
RI_ES_wlb_sp;270.0
RI_ES_td_me;0.39
RI_ES_td_acc;0.57
RI_ES_td_pos;0.8
RI_ES_td_sp;2000.0
RI_ES_esi_me;0.1
RI_ES_esi_acc;0.65
RI_ES_esi_pos;0.7
RI_ES_esi_sp;3600.0
RI_ES_ld_me;0.22
RI_ES_ld_acc;0.73
RI_ES_ld_pos;0.7
RI_ES_ld_sp;1500.0
DI_P_pssr_me;0.07
DI_P_pssr_acc;0.71
DI_P_pssr_pos;0.2
DI_P_pssr_sp;180.0
DI_P_pe_me;0.1
DI_P_pe_acc;0.5
DI_P_pe_pos;0.25
DI_P_pe_sp;125.0
DI_P_sr_me;0.25
DI_P_sr_acc;0.232
DI_P_sr_pos;0.137
DI_P_sr_sp;390.0
