destination;argument_1;argument_2;operator
AreaLowerAndUpperRoof;AreaLowerRoof;AreaUpperRoof;+
AreaTerraceLowerRoof;AreaLowerRoof;PVFieldLowerRoof;-
AreaTerraceLowerRoof;0;GardeningLowerRoof;-
AreaTerraceLowerRoof;0;PlanterStepsLowerRoof;-
AvailableArea;AreaUpperRoof;AreaLowerRoof;+
AvailableArea;AreaTerraceLowerRoof;1;-*
IncreaseVisitorSatisfactionIntermediate;PianoTent;VisitorSatisfactionSensitivityPianoTent;*
TotalAreaGardening;GardeningLowerRoof;GardeningUpperRoof;+
DividedAreaGardening;TotalAreaGardening;AvailableArea;/
IncreaseVisitorSatisfactionIntermediate;DividedAreaGardening;VisitorSatisfactionSensitivityGardening;*
TotalAreaPlanterSteps;PlanterStepsLowerRoof;PlanterStepsUpperRoof;+
DividedAreaPlanterSteps;TotalAreaPlanterSteps;AvailableArea;/
IncreaseVisitorSatisfactionIntermediate;DividedAreaPlanterSteps;VisitorSatisfactionSensitivityPlanterSteps;*
IncreaseVisitorSatisfactionIntermediate;VisitorPath;VisitorSatisfactionSensitivityVisitorPath;*
TotalAreaPVField;PVFieldUpperRoof;PVFieldLowerRoof;+
DividedAreaPVField;TotalAreaPVField;AvailableArea;/
IncreaseVisitorSatisfactionIntermediate;DividedAreaPVField;VisitorSatisfactionSensitivityPVField;*
DividedAreaPVSteps;PVStepsLowerRoof;AreaLowerRoof;/
IncreaseVisitorSatisfaction;DividedAreaPVSteps;VisitorSatisfactionSensitivityPVSteps;*
IncreaseVisitorSatisfaction;MontanaWindmills;VisitorSatisfactionSensitivityMontanaWindmills;*
IncreaseVisitorSatisfaction;SkystreamWindmills;VisitorSatisfactionSensitivitySkystreamWindmills;*
IncreaseVisitorSatisfaction;AmpyxPowerPlanes;VisitorSatisfactionSensitivityAmpyxPowerPlanes;*
IncreaseVisitorSatisfaction;PianoMills;VisitorSatisfactionSensitivityPianoMills;*
IncreaseLandmarkValue;PianoTent;LandmarkSensitivityPianoTent;*
IncreaseLandmarkValue;DividedAreaGardening;LandmarkSensitivityGardening;*
IncreaseLandmarkValue;DividedAreaPlanterSteps;LandmarkSensitivityPlanterSteps;*
IncreaseLandmarkValue;VisitorPath;LandmarkSensitivityVisitorPath;*
IncreaseLandmarkValue;PVFieldUpperRoof;LandmarkSensitivityPVField;*
IncreaseLandmarkValue;DividedAreaPVSteps;LandmarkSensitivityPVSteps;*
IncreaseLandmarkValue;MontanaWindmills;LandmarkSensitivityMontanaWindmills;*
IncreaseLandmarkValue;SkystreamWindmills;LandmarkSensitivitySkystreamWindmills;*
IncreaseLandmarkValue;AmpyxPowerPlanes;LandmarkSensitivityAmpyxPowerPlanes;*
IncreaseLandmarkValue;PianoMills;LandmarkSensitivityPianoMills;*
Capex;UpperRoofRepair;CapexUpperRoofRepair;*
Capex;LowerRoofRepair;CapexLowerRoofRepair;*
IsolationAreaUpper;ExtraIsolation;AreaUpperRoof;*
IsolationAreaLower;ExtraIsolation;AreaLowerRoof;*
IsolationAreaTotal;IsolationAreaUpper;IsolationAreaLower;+
DividedIsolationArea;IsolationAreaTotal;AreaLowerAndUpperRoof;/
Capex;DividedIsolationArea;CapexExtraIsolation;*
Capex;PianoTent;CapexPianoTent;*
Capex;ExternalElevator;CapexExternalElevator;*
GardeningCapexShares;ShareGardeningIntensive;CapexGardeningIntensive;*
GardeningCapexShares;ShareGardeningExtensive;CapexGardeningExtensive;*
GardeningCapex;TotalAreaGardening;GardeningCapexShares;*
Capex;GardeningCapex;0;+
Capex;TotalAreaPlanterSteps;CapexPlanterSteps;*
Capex;VisitorPath;CapexVisitorPath;*
TotalAreaPVField;PVFieldBarRoof;0;+
ShareEnergySponsorsCalculation;1;CapexCoveredBySponsoring;-
CapexPVFieldIntermediate;TotalAreaPVField;CapexPVField;*
Capex;CapexPVFieldIntermediate;ShareEnergySponsorsCalculation;*
CapexPVStepsIntermediate;PVStepsLowerRoof;CapexPVSteps;*
Capex;CapexPVStepsIntermediate;ShareEnergySponsorsCalculation;*
CapexMontanaIntermediate;MontanaWindmills;CapexMontanaWindmill;*
CapexSkystreamIntermediate;SkystreamWindmills;CapexSkystreamWindmill;*
Capex;CapexMontanaIntermediate;ShareEnergySponsorsCalculation;*
Capex;CapexSkystreamIntermediate;ShareEnergySponsorsCalculation;*
CapexAmpyxIntermediate;AmpyxPowerPlanes;CapexAmpyxPowerPlane;*
Capex;CapexAmpyxIntermediate;ShareEnergySponsorsCalculation;*
CapexPianoMillsIntermediate;PianoMills;CapexPianoMill;*
Capex;ShareEnergySponsorsCalculation;CapexPianoMillsIntermediate;*
NoRoofRepairBinary;1;UpperRoofRepair;-
Opex;NoRoofRepairBinary;OpexRoofIfNotRepaired;*
GardeningOpexIntermediate;ShareGardeningIntensive;OpexGardeningIntensive;*
GardeningOpexIntermediate;ShareGardeningExtensive;OpexGardeningExtensive;*
Opex;GardeningOpexIntermediate;TotalAreaGardening;*
Opex;TotalAreaPlanterSteps;GardeningOpexIntermediate;*
OpexVisitorPathIntermediate;VisitorPath;OpexRelativeToCapexVisitorPath;*
Opex;OpexVisitorPathIntermediate;CapexVisitorPath;*
OpexPVFieldIntermediate;TotalAreaPVField;OpexRelativeToCapexPVField;*
Opex;OpexPVFieldIntermediate;CapexPVField;*
OpexPVStepsIntermediate;PVStepsLowerRoof;OpexRelativeToCapexPVField;*
Opex;OpexPVStepsIntermediate;CapexPVSteps;*
OpexMontanaIntermediate;MontanaWindmills;OpexRelativeToCapexWindmills;*
Opex;OpexMontanaIntermediate;CapexMontanaWindmill;*
OpexSkystreamIntermediate;SkystreamWindmills;OpexRelativeToCapexWindmills;*
Opex;OpexSkystreamIntermediate;CapexSkystreamWindmill;*
OpexAmpyxIntermediate;AmpyxPowerPlanes;OpexRelativeToCapexPowerPlane;*
Opex;OpexAmpyxIntermediate;CapexAmpyxPowerPlane;*
OpexPianoMillsIntermediate;PianoMills;OpexRelativeToCapexWindmills;*
Opex;OpexPianoMillsIntermediate;CapexPianoMill;*
OpexIntermediate;Opex;1;*
Energy savings in kilowatt-hours;DividedIsolationArea;KwHEnergySavingsExtraIsolation;*
Energy savings in kilowatt-hours;TotalAreaGardening;KwHEnergySavingsGardening;*
Energy savings in kilowatt-hours;TotalAreaPlanterSteps;KwHEnergySavingsGardening;*
Energy savings in kilowatt-hours;TotalAreaPVField;KwHEnergySavingsPVField;*
Energy savings in kilowatt-hours;PVStepsLowerRoof;KwHEnergySavingsPVField;*
Energy savings in kilowatt-hours;MontanaWindmills;KwHEnergySavingsMontanaWindmill;*
Energy savings in kilowatt-hours;SkystreamWindmills;KwHEnergySavingsSkystreamWindmill;*
Energy savings in kilowatt-hours;AmpyxPowerPlanes;KwHEnergySavingsAmpyxPowerPlane;*
Energy savings in kilowatt-hours;PianoMills;KwHEnergySavingsPianoMill;*
Energy savings in euros;PricePerKwH;Energy savings in kilowatt-hours;*
ExtraVisitorSatisfaction;IncreaseAnnualVisitorsCustomerSatisfaction;1;*
ExtraVisitorLandmark;IncreaseAnnualVisitorsLandmarkValue;1;*
VisitorsIncrease;ExtraVisitorSatisfaction;IncreaseVisitorSatisfactionIntermediate;*
VisitorsIncrease;ExtraVisitorLandmark;IncreaseLandmarkValue;*
ExtraEntranceFees;VisitorsIncrease;EntranceFee;*
BarMarginIncreaseExternalElevatorTrue;ExternalElevator;ElevatorRestaurantRevenues;*
BarMarginIncreasePianoTentTrue;PianoTent;BarMarginIncreasePianoTent;*
ExtraBarMargin;BarMarginIncreaseExternalElevatorTrue;CurrentBarMargin;*
ExtraBarMargin;BarMarginIncreasePianoTentTrue;CurrentBarMargin;*
BarMarginIncreaseExtraVisitors;VisitorsIncrease;BarMarginPerVisitor;*
ExtraBarMargin;BarMarginIncreaseExtraVisitors;1;*
