fixed_input;value
AreaLowerRoof;2270.0
AreaUpperRoof;1150.0
BarMarginIncreasePianoTent;0.02
BarMarginPerVisitor;1.0
CapexAmpyxPowerPlane;18505.0
CapexExternalElevator;650000.0
CapexExtraIsolation;66000.0
CapexGardeningExtensive;60.0
CapexGardeningIntensive;250.0
CapexLowerRoofRepair;1100000.0
CapexMontanaWindmill;18508.0
CapexPianoMill;50000.0
CapexPianoTent;1850000.0
CapexPlanterSteps;200.0
CapexPVField;400.0
CapexPVSteps;660.0
CapexSkystreamWindmill;10742.0
CapexUpperRoofRepair;400000.0
CapexVisitorPath;150000.0
CurrentBarMargin;1000000.0
EntranceFee;10.4
KwHEnergySavingsAmpyxPowerPlane;5382.0
KwHEnergySavingsExtraIsolation;20000.0
KwHEnergySavingsGardening;20.0
KwHEnergySavingsMontanaWindmill;2691.0
KwHEnergySavingsPianoMill;1000.0
KwHEnergySavingsPVField;120.275
KwHEnergySavingsSkystreamWindmill;2109.0
LandmarkSensitivityAmpyxPowerPlanes;0.15
LandmarkSensitivityGardening;0.1
LandmarkSensitivityMontanaWindmills;0.1
LandmarkSensitivityPianoMills;0.15
LandmarkSensitivityPianoTent;0.2
LandmarkSensitivityPlanterSteps;0.1
LandmarkSensitivityPVField;0.0
LandmarkSensitivityPVSteps;0.05
LandmarkSensitivitySkystreamWindmills;0.1
LandmarkSensitivityVisitorPath;0.0
OpexGardeningExtensive;1.0
OpexGardeningIntensive;10.0
OpexRelativeToCapexPowerPlane;0.02
OpexRelativeToCapexPVField;0.01
OpexRelativeToCapexVisitorPath;0.01
OpexRelativeToCapexWindmills;0.05
OpexRoofIfNotRepaired;60000.0
ShareGardeningExtensive;0.7
ShareGardeningIntensive;0.3
VisitorSatisfactionSensitivityAmpyxPowerPlanes;0.6
VisitorSatisfactionSensitivityGardening;0.2
VisitorSatisfactionSensitivityMontanaWindmills;0.25
VisitorSatisfactionSensitivityPianoMills;0.3
VisitorSatisfactionSensitivityPianoTent;0.25
VisitorSatisfactionSensitivityPlanterSteps;0.2
VisitorSatisfactionSensitivityPVField;0.225
VisitorSatisfactionSensitivityPVSteps;0.7
VisitorSatisfactionSensitivitySkystreamWindmills;0.25
VisitorSatisfactionSensitivityVisitorPath;0.4
