destination;argument_1;argument_2;operator
TECU_1;Education after 18;TECU_sp;/
TECU_2;TECU_1;1;min
TECU_3;TECU_2;TECU_acc;*
TECU_4;TECU_3;TECU_pos;*
Tertiary education completed Ukrainians;TECU_4;TECU_me;*
Sports and association exists;Sports and association;0;>
Language and integration course exists;Language and integration course;0;>
Employment exists;Employment;0;>
Education exists;Education after 18;0;>
Access to transport exists;Access to transport;0;>
Check for interventions;Sports and association exists;Language and integration course exists;+
Check for interventions;Employment exists;Education exists;+
Check for interventions;Access to transport exists;0;+
Jealousy effect;Check for interventions;0;>
Jealousy effect Interventions;Jealousy effect;Effect intervention on jealousy;*
Quality of life other refugees Interventions;Jealousy effect Interventions;Effect of jealousy on QoL on quality of life other refugees;*
Quality of life inhabitants Interventions;Jealousy effect Interventions;Effect of jealousy on QoL on quality of life inhabitants;*
LAUS_1;Sports and association;LAUS_sp;/
LAUS_2;LAUS_1;1;min
LAUS_3;LAUS_2;LAUS_acc;*
LAUS_4;LAUS_3;LAUS_pos;*
Language acquisition Ukrainians Sports;LAUS_4;LAUS_me;*
LAUI_1;Language and integration course;LAUI_sp;/
LAUI_2;LAUI_1;1;min
LAUI_3;LAUI_2;LAUI_acc;*
LAUI_4;LAUI_3;LAUI_pos;*
Language acquisition Ukrainians Integration;LAUI_4;LAUI_me;*
Language acquisition Ukrainians;Language acquisition Ukrainians Sports;Language acquisition Ukrainians Integration;+
Employment effect reduced;Language and integration course;Min. investment in language and integration for full employment effect;<=
Reduction employment effect conditional;Reduction employment effect;Employment effect reduced;*
URUE_1;Employment;URUE_sp;/
URUE_2;URUE_1;1;min
URUE_3;URUE_2;URUE_acc;*
URUE_4;URUE_3;URUE_pos;*
Unemployment reduction Ukrainians Employment;URUE_4;URUE_me;*
Unemployment reduction Ukrainians Employment;Unemployment reduction Ukrainians Employment;Reduction employment effect conditional;-*
Unemployment reduction Ukrainians Language Acq;Language acquisition Ukrainians;Effect of language acquisition Ukrainians on unemployment reduction Ukrainians;*
Unemployment reduction Ukrainians Education Compl;Tertiary education completed Ukrainians;Effect of tertiary education completed Ukrainians on unemployment reduction Ukrainians;*
Umployment reduction Ukrainians Interventions;Unemployment reduction Ukrainians Employment;Unemployment reduction Ukrainians Language Acq;+
Umployment reduction Ukrainians Interventions;Unemployment reduction Ukrainians Education Compl;0;+
Increase in income Ukrainians Employment;Unemployment reduction Ukrainians Employment;Effect of unemployment reduction Ukrainians on income Ukrainians;*
Increase in income Ukrainians Language Acq;Language acquisition Ukrainians;Effect of language acquisition Ukrainians on income Ukrainians;*
Increase in income Ukrainians Education Compl;Tertiary education completed Ukrainians;Effect of tertiary education completed Ukrainians on income Ukrainians;*
Increase in income Ukrainians;Increase in income Ukrainians Employment;Increase in income Ukrainians Language Acq;+
Increase in income Ukrainians;Increase in income Ukrainians Education Compl;0;+
Number of additional jobs Sports;Sports and association;Yearly salary sports and associations;/
Number of additional jobs Integration;Language and integration course;Yearly salary language and integration;/
Number of additional jobs Employment;Employment;Yearly salary employment creating and matching;/
Number of additional jobs Education;Education after 18;Yearly salary education after 18;/
Number of additional jobs;Number of additional jobs Sports;Number of additional jobs Integration;+
Number of additional jobs;Number of additional jobs Employment;Number of additional jobs Education;+
Number of additional jobs Ukrainians;Number of additional jobs;Effect of additional jobs on number of additional jobs Ukrainians;*
Number of additional jobs other refugees;Number of additional jobs;Effect of additional jobs on number of additional jobs other refugees;*
Number of additional jobs inhabitants;Number of additional jobs;Effect of additional jobs on number of additional jobs inhabitants;*
Economic impact Investing;Sports and association;Language and integration course;+
Economic impact Investing;Employment;Education after 18;+
Unemployment reduction other refugees;Number of additional jobs other refugees;Number of other refugees workforce;/
Increase in income other refugees;Unemployment reduction other refugees;Effect of unemployment reduction other refugees on income other refugees;*
Quality of life other refugees Unemployment reduction;Unemployment reduction other refugees;Effect of unemployment reduction other refugees on QoL other refugees;*
Unemployment reduction inhabitants;Number of additional jobs inhabitants;Number of inhabitants workforce;/
Unemployment reduction Ukrainians;Umployment reduction Ukrainians Interventions;0;+
Unemployment reduction Ukrainians;Number of additional jobs Ukrainians;Number of Ukrainian refugees workforce;/
Quality of life Ukrainians Unemployment reduction;Unemployment reduction Ukrainians;Effect of unemployment reduction Ukrainians on QoL Ukrainians;*
Change in number of employed Ukrainian refugees;Umployment reduction Ukrainians Interventions;Number of Ukrainian refugees workforce;*
Economic impact Ukrainians;Change in number of employed Ukrainian refugees;Average yearly salary Ukrainians;*
Economic impact Employment;Economic impact Ukrainians;0;+
Economic impact social benefits Ukr 1;Number of additional jobs Ukrainians;Social benefits Ukrainian refugees;*
Economic impact social benefits Ukr 2;Change in number of employed Ukrainian refugees;Social benefits Ukrainian refugees;*
Economic impact social benefits Other refugees;Number of additional jobs other refugees;Social benefits other refugees;*
Economic impact social benefits Inhabitants;Number of additional jobs inhabitants;Social benefits inhabitants;*
Economic impact Social benefits;Economic impact social benefits Ukr 1;Economic impact social benefits Ukr 2;+
Economic impact Social benefits;Economic impact social benefits Other refugees;Economic impact social benefits Inhabitants;+
Economic impact;Economic impact Employment;Economic impact Investing;+
Economic impact;Economic impact Social benefits;0;+
Increase in income inhabitants;Unemployment reduction inhabitants;Effect of unemployment reduction inhabitants on income inhabitants;*
Quality of life inhabitants Unemployment reduction;Unemployment reduction inhabitants;Effect of unemployment reduction inhabitants on QoL inhabitants;*
SCUS_1;Sports and association;SCUS_sp;/
SCUS_2;SCUS_1;1;min
SCUS_3;SCUS_2;SCUS_acc;*
SCUS_4;SCUS_3;SCUS_pos;*
Social cohesion Ukrainians Sports;SCUS_4;SCUS_me;*
SCUT_1;Access to transport;SCUT_sp;/
SCUT_2;SCUT_1;1;min
SCUT_3;SCUT_2;SCUT_acc;*
SCUT_4;SCUT_3;SCUT_pos;*
Social cohesion Ukrainians Transport;SCUT_4;SCUT_me;*
Social cohesion Ukrainians Language Acq;Language acquisition Ukrainians;Effect of language acquisition Ukrainians on social cohesion Ukrainians;*
Social cohesion Ukrainians;Social cohesion Ukrainians Sports;Social cohesion Ukrainians Transport;+
Social cohesion Ukrainians;Social cohesion Ukrainians Language Acq;0;+
