external_variable_input;scenario;value
Min. investment in language and integration for full employment effect;Base case;2587601.6
Min. investment in language and integration for full employment effect;Labour optimistic;2587601.6
Min. investment in language and integration for full employment effect;Labour pessimistic;5175203.347
Reduction employment effect;Base case;0.7
Reduction employment effect;Labour optimistic;0.7
Reduction employment effect;Labour pessimistic;0.7
Yearly salary education after 18;Labour optimistic;36972.0
Yearly salary sports and associations;Labour optimistic;21384.0
Yearly salary language and integration;Labour optimistic;27084.0
Yearly salary employment creating and matching;Labour optimistic;26796.0
Yearly salary education after 18;Base case;43512.0
Yearly salary sports and associations;Base case;25332.0
Yearly salary language and integration;Base case;34872.0
Yearly salary employment creating and matching;Base case;30492.0
Yearly salary education after 18;Labour pessimistic;50052.0
Yearly salary sports and associations;Labour pessimistic;34332.0
Yearly salary language and integration;Labour pessimistic;40776.0
Yearly salary employment creating and matching;Labour pessimistic;34080.0
