generic_text_element;value
title_strategic_challenge;Strategic Challenge
title_key_outputs;Key outputs
title_dmo;Options
title_scenarios;Scenarios
title_comparison;Comparisons of options
title_theme_weights;Key output and theme weights
title_scenario_weights;Scenario weights
text_strategic_challenge;Describing strategic challenge that requires a decision
text_key_outputs;Which indicators do you use to evaluate the impact of your decision(s)?
text_dmo;Which options do you have to influence your impact?
text_scenarios;Which uncertainty do you want to account for?
